"성별(1)","특성별(1)",특성별(2),2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"성별(1)","특성별(1)",특성별(2),응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차
"남자","연령별2",19-64세,2072,90.8,0.7,1931,90.1,0.8,1708,87.7,1.0,1751,87.9,1.0,1570,87.6,0.9,1743,88.4,0.8,1920,89.4,0.9,2032,87.9,0.9,2037,87.5,0.9,2034,88.0,0.9,1913,87.1,0.9,1721,84.8,1.1,1551,86.4,1.0
"남자","연령별2",65세이상,610,64.2,2.2,621,69.4,2.0,601,69.1,2.2,508,67.5,2.4,585,68.7,1.9,612,67.0,2.4,673,64.9,2.1,690,67.6,1.9,680,69.6,2.0,712,68.4,2.2,717,61.6,2.3,762,63.9,2.0,737,66.4,2.0
"남자","거주지역별",동,2088,88.9,0.8,2025,88.9,0.9,1826,86.4,1.1,1806,86.2,1.1,1718,85.9,0.9,1880,86.5,1.0,2088,87.4,0.9,2211,86.0,0.9,2211,85.7,0.9,2180,85.7,0.9,2083,84.0,0.9,1921,82.9,1.2,1768,84.6,1.1
"남자","거주지역별",읍면,594,83.6,1.5,527,82.6,1.5,483,81.9,2.0,453,81.8,2.4,437,81.7,2.7,475,80.9,2.2,505,79.0,2.4,511,79.2,2.8,506,79.8,2.8,566,81.6,2.2,547,77.5,2.7,562,73.1,2.0,520,73.6,2.7
"남자","소득수준별",하,518,83.7,1.6,508,83.8,2.0,444,82.3,2.4,444,80.9,2.1,419,80.3,2.1,462,78.2,1.8,522,80.8,2.3,538,77.6,2.3,540,81.9,2.1,553,80.2,1.9,518,73.3,2.2,500,74.2,2.5,453,74.4,2.2
"남자","소득수준별",중하,528,87.4,1.6,503,84.8,2.0,452,87.3,1.9,448,84.3,2.3,435,85.9,1.8,460,82.7,1.9,518,84.5,1.8,536,85.2,1.6,541,84.9,1.9,542,83.2,1.8,525,84.5,1.8,493,80.3,2.2,457,82.0,2.1
"남자","소득수준별",중,567,88.4,1.4,501,91.1,1.3,448,84.8,1.9,447,85.5,1.9,431,81.7,2.0,469,89.0,1.5,507,88.0,1.4,545,86.1,1.6,550,82.4,1.9,539,87.0,1.7,523,82.6,1.9,486,83.2,2.0,460,84.5,2.0
"남자","소득수준별",중상,509,91.2,1.4,501,88.2,1.5,462,84.4,2.1,444,86.3,1.9,433,86.9,1.9,470,88.5,1.7,515,87.9,1.5,547,86.1,1.7,538,85.8,1.7,548,87.4,1.8,525,86.9,1.7,496,84.0,1.9,462,85.8,1.9
"남자","소득수준별",상,531,89.0,1.6,517,91.8,1.4,476,89.1,2.0,462,89.6,1.8,434,91.0,1.3,479,89.4,1.5,522,89.5,1.4,549,89.9,1.4,538,90.4,1.3,552,86.8,1.7,532,88.0,1.3,497,85.0,1.8,454,87.0,1.8
"남자","거주지역(표준화)별",동,2088,88.5,0.7,2025,88.7,0.9,1826,86.3,1.1,1806,86.2,1.0,1718,86.4,0.8,1880,87.2,0.9,2088,88.0,0.8,2211,86.7,0.9,2211,86.7,0.8,2180,86.9,0.9,2083,85.6,0.9,1921,84.3,1.1,1768,86.2,0.9
