식품군,식품,평균(g),표준오차(g),p1(g),p5(g),p10(g),p25(g),p50(g),p75(g),p90(g),p95(g),p99(g),n
음료류,"토마토,페이스트",17.06,1.94,0.15,0.37,1.54,6.04,14.5,21.79,35.17,45.36,58.57,39
음료류,과일음료,289.78,25.12,15.6,79.79,103.46,157.44,228.88,392.98,528.15,583.59,626.62,52
음료류,"음료류,이온음료",383.17,65.65,104,104,104,181.96,256.51,506.81,719.9,779.68,985.82,21
음료류,기타탄산음료,334.77,26.07,15.5,32.36,80.79,216.16,351.43,368.41,518.44,598.16,696.43,25
음료류,사이다,237.48,25.45,0.09,0.57,1.2,10.67,193.33,360.21,515.13,619.03,762.66,82
음료류,콜라,327.66,21.44,2.05,3.67,15.65,170.86,262.89,483.33,631.66,653.62,834.84,135
음료류,"녹차,침출액",388.05,70,15,33.9,102.37,164.07,267.38,350.02,392.91,1353.81,2128.97,20
음료류,"커피,커피만",1.75,0.36,0.02,0.06,0.19,0.56,1.31,1.88,2.08,2.36,9.05,31
음료류,"커피,침출액",331.83,18.57,1.73,35.79,42.18,153.67,350.54,421.93,613.21,726.75,1105.09,183
음료류,커피음료,279,28.62,84.1,111.9,122.58,150.51,252.29,362.96,392.44,402.25,728.86,35
음료류,"커피,당·프림등첨가",18.64,2.15,1.2,2.12,10.76,11.72,11.99,23.72,27.09,46.45,56.38,61
주류,맥주,639.06,46.89,81.01,168.61,192.66,335.56,467.16,709.77,1182.27,1422.64,2713.71,100
주류,소주,374.82,43.8,0.01,0.17,0.32,17.77,318.2,537,675.01,988.81,1635.57,86
주류,청주,33.51,21.57,0.12,0.14,0.33,2.72,6.18,13.1,24.39,83.54,466.92,37
