"성별(1)","특성별(1)",특성별(2),2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"성별(1)","특성별(1)",특성별(2),응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차
"남자","연령별1",30-39세,380,16.1,2.0,280,20.8,3.0,369,11.8,1.5,362,15.1,2.1,382,10.6,1.6,384,15.5,1.9,270,19.3,2.5,232,12.2,2.4,276,5.9,1.4
"남자","연령별1",40-49세,367,12.8,2.0,359,11.0,1.8,417,8.0,1.5,417,7.2,1.6,425,9.6,1.5,441,9.1,1.5,348,7.1,1.4,351,4.4,1.1,323,6.3,1.4
"남자","연령별1",50-59세,387,10.3,1.6,453,10.5,1.8,368,7.3,1.6,498,4.8,1.0,436,7.3,1.4,433,6.2,1.2,377,8.7,1.9,370,6.6,1.6,373,8.1,1.5
"남자","연령별1",60-69세,409,7.0,1.5,440,4.1,1.1,404,3.3,0.9,437,2.2,0.7,443,3.1,0.9,450,3.6,1.0,368,6.7,1.8,414,3.5,0.9,457,5.1,1.1
"남자","연령별1",70세이상,423,2.3,0.9,401,1.6,0.7,418,0.9,0.4,460,2.2,0.8,433,1.2,0.6,464,1.8,0.7,429,3.6,1.2,494,1.8,0.6,456,2.8,0.8
"남자","연령별2",1-2세,93,2.8,1.6,65,0.0,-,98,3.8,2.6,90,1.6,1.2,88,2.5,1.8,56,3.5,2.5,41,6.1,4.4,42,6.9,4.8,38,6.3,3.6
"남자","연령별2",3-5세,156,4.7,1.7,110,1.2,0.8,165,7.5,2.6,154,9.9,2.7,126,2.7,1.4,127,7.3,2.5,93,9.3,3.5,79,1.2,1.0,61,4.7,2.8
"남자","연령별2",6-11세,264,12.1,2.2,236,13.7,2.4,294,8.4,2.4,270,9.9,2.1,255,4.3,1.5,287,8.0,1.8,201,5.9,1.9,191,7.7,2.0,195,9.0,2.7
"남자","연령별2",12-18세,264,8.9,2.2,283,8.7,1.7,266,6.4,1.9,236,4.6,1.6,233,7.3,1.7,237,7.8,2.0,193,6.2,1.7,187,2.5,1.3,169,5.8,1.6
"남자","연령별2",19-29세,233,12.6,2.7,315,19.2,2.3,264,12.0,2.1,309,7.7,1.8,323,8.0,1.7,323,12.0,2.1,292,6.2,1.5,279,10.0,2.3,257,8.6,1.8
"남자","연령별2",30-49세,747,14.4,1.3,639,15.7,1.7,786,9.8,1.0,779,10.9,1.3,807,10.1,1.1,825,12.1,1.2,618,12.9,1.4,583,8.1,1.3,599,6.1,1.0
"남자","연령별2",50-64세,562,9.6,1.3,667,8.7,1.4,557,6.4,1.2,724,4.2,0.8,702,6.1,1.0,679,5.6,1.0,584,8.5,1.5,582,5.6,1.2,596,7.6,1.2
"남자","연령별2",65세이상,657,3.7,0.9,627,3.0,0.7,633,1.5,0.5,671,2.1,0.6,610,1.9,0.6,668,2.1,0.6,590,4.1,1.1,696,2.5,0.7,690,3.2,0.7
"남자","거주지역별",동,2356,11.2,0.8,2353,12.4,1.0,2456,8.0,0.7,2629,7.2,0.6,2591,7.5,0.7,2577,8.7,0.6,2114,8.4,0.7,2044,6.7,0.7,2019,6.5,0.6
